11,12
12,1
12,2
12,4
12,5
12,6
12,7
12,8
13,5
14,4
14,7
12,12
13,0
13,2
13,6
13,8
13,10
13,12
14,0
14,2
14,3
14,5
14,6
14,8
14,9
17,9
14,12
15,0
15,2
15,4
15,6
15,8
15,10
15,12
16,0
16,2
16,4
16,5
16,6
16,7
16,9
16,10
16,11
17,0
17,2
17,6
17,8
17,12
18,0
18,1
18,3
18,4
18,5
18,7
18,8
18,10
18,12
19,0
19,2
19,4
19,6
19,8
19,10
19,12
12,13
19,14
19,16
19,18
18,14
18,15
18,16
18,17
18,18
18,19
17,14
17,18
16,14
16,15
16,16
15,14
15,16
15,18
14,14
14,15
14,17
14,18
13,14
15,19
13,18
13,15
12,15
12,16
12,17
12,18
12,19
11,14
10,19
10,18
10,17
10,16
10,15
10,14
9,18
7,19
9,14
8,18
8,17
8,15
8,14
7,18
7,16
7,14
6,17
1,19
6,15
6,14
5,14
4,19
4,18
4,16
4,15
4,14
3,14
2,18
2,15
2,14
0,19
0,18
0,14
10,13
0,11
0,9
0,8
0,7
0,6
0,4
0,1
1,12
1,6
1,4
1,2
1,0
2,12
2,11
2,9
2,6
2,5
2,3
3,12
3,10
3,8
3,6
3,4
3,2
4,12
4,10
4,9
4,8
4,7
4,5
4,4
4,2
4,1
4,0
5,12
5,8
5,6
5,2
5,0
1,11
6,11
6,10
6,9
1,1
6,6
6,5
6,4
6,2
6,1
3,11
7,10
7,8
7,6
7,4
7,2
7,0
8,12
8,11
5,5
8,8
8,6
8,3
8,2
8,0
5,10
3,1
9,8
9,6
9,4
9,0
